,Ep#,Title
0,6,Valentine Murder Case
1,14,The Mysterious Shooting Message Case
2,17,Hijacked Department Store Case
3,19,An Elevator Murder Case
4,21,"On Location, TV Drama Murder Case"
5,24,The Mysterious Woman With Amnesia Case
6,25,The False Kidnapping and Hostage Case
7,26,Pet Dog John Murder Case
8,29,Computer Murder Case
9,30,Alibi Testimony Murder Case
10,33,Detective Boys Survival Case
11,36,Monday Night 7:30 p.m. Murder Case
12,37,Cactus's Flower Murder Case
13,41,Victory Flag Tearing Case
14,44,Three Hotta Siblings Murder Case
15,45,Facial Mask Murder Case
16,47,Sports Club Murder Case
17,51,The Golf Driving Range Murder Case
18,53,The Mystery Weapon Murder Case
19,55,The Train Trick Murder Case
20,56,The Ojamanbou Murder Case
21,59,The First Errand Murder Case
22,61,A Ghost Ship Murder Case (Part 1)
23,62,A Ghost Ship Murder Case (Part 2)
24,64,The Third Fingerprint Murder Case
25,65,A Crab and Whale Kidnapping Case
26,66,Night Road Murder Case
27,67,Stage Actress Murder Case
28,71,A Stalker's Murder Case
29,73,The Detective Boys' Disaster Case
30,74,The Death God Jinnai Murder Case
31,79,The Bank Heist Murder Case
32,80,The Wandering Artist Murder Case
33,83,General Hospital Murder Case
34,87,The Crane's Return of a Favor Murder Case
35,88,Dracula's Villa Murder Case (Part 1)
36,89,Dracula's Villa Murder Case (Part 2)
37,90,The Flower Scent Murder Case
38,92,The Fearful Traversing Murder Case (Part 1)
39,93,The Fearful Traversing Murder Case (Part 2)
40,94,Snow Woman's Legend Murder Case
41,95,Kogoro's Date Murder Case
42,97,The Farewell Wine Murder Case
43,106,Scoop Picture Murder Case
44,107,The Mysterious Mole Alien Case (Part 1)
45,108,The Mysterious Mole Alien Case (Part 2)
46,109,Detective Club Pursuit Case
47,110,Cooking Classroom Murder Case (Part 1)
48,111,Cooking Classroom Murder Case (Part 2)
49,119,The Kamen Yaiba Murder Case
50,120,A Honey Cocktail Murder Case
51,123,The Weather Girl Kidnapping Case
52,124,A Mysterious Sniper Murder Case (Part 1)
53,125,A Mysterious Sniper Murder Case (Part 2)
54,126,The Traveling Drama Troupe Murder Case (Part 1)
55,127,The Traveling Drama Troupe Murder Case (Part 2)
56,135,The Disappearing Weapon Search Case
57,140,SOS! Messages from Ayumi
58,143,The Suspicious Astronomical Observation
59,148,The Streetcar's Sudden Stopping Case
60,149,The Amusement Park Bungee Jumping Case
61,150,The Truth Behind the Car Explosion Case (Part 1)
62,151,The Truth Behind the Car Explosion Case (Part 2)
63,152,The Mysterious Old Man Disappearance Case
64,155,Underwater Key in the Locked Room Case
65,158,The Silent Loop Line
66,159,The Legend of the Mysterious Five Storied Pagoda (Part 1)
67,160,The Legend of the Mysterious Five Storied Pagoda (Part 2)
68,161,The Murder Floating in the Water Stream Restaurant
69,165,The Disappearing Detective Boys Case
70,169,Venus' Kiss
71,175,The Man Who Was Killed Four Times
72,179,The Coffee Shop Truck's Wild Entrance Case
73,180,The Nocturne of Red Murderous Intent (Part 1)
74,181,The Nocturne of Red Murderous Intent (Part 2)
75,182,The Big Investigation of the Nine Doors
76,183,A Dangerous Recipe
77,184,A Cursed Mask Coldly Laughs (1 Hour Special)
78,185,The Murdered Famous Detective (Part 1)
79,186,The Murdered Famous Detective (Part 2)
80,187,The Unknown Gunshot That Rings in the Dark
81,196,"The Invisible Weapon, Ran's First Investigation"
82,197,The Super Car's Trap (Part 1)
83,198,The Super Car's Trap (Part 2)
84,201,The Tenth Passenger (Part 1)
85,202,The Tenth Passenger (Part 2)
86,203,The Black Wings of Icarus (Part 1)
87,204,The Black Wings of Icarus (Part 2)
88,207,The Deduction That Was Too Good
89,208,The Entrance to the Maze: The Anger of the Colossus (1 Hour Special)
90,209,The Falling from Mt. Ryujin Case
91,210,The Water Palace of Five Colors Legend (Part 1)
92,211,The Water Palace of Five Colors Legend (Part 2)
93,214,The Mysterious Retro Room Case
94,215,The Bay of Revenge (Part 1)
95,216,The Bay of Revenge (Part 2)
96,225,The Secret of the High Sales
97,232,The Falling from the Condo Case
98,235,The Locked Wine Cellar
99,236,The Nanki Shirahama Mystery Tour (Part 1)
100,237,The Nanki Shirahama Mystery Tour (Part 2)
101,245,The Gunshot at the Sunflower Estate
102,248,The Alibi of the Soothing Forest
103,251,The Tragedy at the OK Corral
104,252,The Kidnapper in the Picture
105,255,The 14th Round of the Matsue Tamatsukuri Linked Verse Contest (Part 1)
106,256,The 14th Round of the Matsue Tamatsukuri Linked Verse Contest (Part 2)
107,257,The Mysterious Punishment From Heaven
108,260,The Shaking Restaurant
109,261,The Fearful Legend of the Snowy Night (Part 1)
110,262,The Fearful Legend of the Snowy Night (Part 2)
111,264,Courtroom Confrontation: Kisaki vs. Kogoro (Part 1)
112,265,Courtroom Confrontation: Kisaki vs. Kogoro (Part 2)
113,273,Riddle Granny Disappearance Case
114,276,The Policeman's Missing Notebook Case
115,281,The Small Eye-Witnesses
116,282,The Mystery of the Water-Flowing Stone Garden (Part 1)
117,283,The Mystery of the Water-Flowing Stone Garden (Part 2)
118,294,The Smash of Determination and Love (Part 1)
119,295,The Smash of Determination and Love (Part 2)
120,296,Houseboat Fishing Shock
121,297,Courtroom Confrontation II: Kisaki vs. Kujo (Part 1)
122,298,Courtroom Confrontation II: Kisaki vs. Kujo (Part 2)
123,299,The Kanmon Strait of Friendship and Murderous Intent (Part 1)
124,300,The Kanmon Strait of Friendship and Murderous Intent (Part 2)
125,303,The Victim Who Came Back
126,314,The Scenic Lookout with the Broken Fence
127,315,Place Exposed to the Sun
128,318,The Lucky Cigar Case (Part 1)
129,319,The Lucky Cigar Case (Part 2)
130,320,The Art of Ninja Alibi Craft
131,321,The Kidnapper's Disappearing Getaway Car (Part 1)
132,322,The Kidnapper's Disappearing Getaway Car (Part 2)
133,328,The Birthday Wine Mystery
134,337,Hidden Circumstances of the Falling Incident
135,342,The Bride of Huis ten Bosch (1 Hour Special)
136,348,"Love, Ghosts, and World Heritage (Part 1)"
137,349,"Love, Ghosts, and World Heritage (Part 2)"
138,352,The Fishing Tournament Tragedy (Part 1)
139,353,The Fishing Tournament Tragedy (Part 2)
140,357,Sweetheart is an Illusion of Spring
141,360,A Mysterious Spring Beetle
142,363,The City Crows
143,364,The Synchronicity Case (Part 1)
144,365,The Synchronicity Case (Part 2)
145,368,The Candy House the Witch Lives In
146,369,A Lucky Man's Suspense
147,370,Running Away in a Game
148,373,Deadly Poisonous Spider Trap
149,376,The Time Limit is 15:00!
150,377,Momotarou Mystery Solving Tour (Part 1)
151,378,Momotarou Mystery Solving Tour (Part 2)
152,379,The Case of the Furisode at the Hidden Hot Spring on a Snowy Night (Part 1)
153,380,The Case of the Furisode at the Hidden Hot Spring on a Snowy Night (Part 2)
154,384,The Target is Kogoro Mouri
155,388,Kogoro Gets Drunk in Satsuma (Part 1)
156,389,Kogoro Gets Drunk in Satsuma (Part 2)
157,392,The Mysterious Height Difference of 20cm
158,393,A Kidnapping Case... So It Seems
159,397,"Hot, Bitter, Sweet Soup"
160,403,The Mysterious Angel's Mansion (Part 1)
161,404,The Mysterious Angel's Mansion (Part 2)
162,405,The Man Who Called for an Ambulance
163,409,The Simultaneous Stage Advance and Kidnapping (Part 1)
164,410,The Simultaneous Stage Advance and Kidnapping (Part 2)
165,413,The Half Completed Crime Mystery
166,414,The Detective Boys' Bluebird Chase
167,418,Home of Beika's Grenier
168,419,Sword of the Eight-Headed Serpent (Part 1)
169,420,Sword of the Eight-Headed Serpent (Part 2)
170,423,The Detective Boys and the Four Caterpillar Brothers
171,424,Photo E-mail from the Clown
172,426,Love Letter to Ran
173,433,Conan: A Strange Child
174,434,The Great Dog Coeur's Triumph
175,437,Aya Ueto and Shinichi - The Promise from 4 Years Ago
176,439,And It'd Be Nice if Everybody Disappeared
177,440,The Car Stunt's Utmost Limit
178,441,"The Final ""Ahh"""
179,442,The Man Obstructed by the Steel Frame
180,448,The Meguro Sanma Case
181,450,Trick vs. Magic (Part 1)
182,451,Trick vs. Magic (Part 2)
183,452,The Phantom of the Konpira (1 Hour Special)
184,456,The Mystery I Loved
185,459,A Mysterious Man - Overly Strict with Regulations
186,461,The Missing Page
187,468,Mysterious Case Near the Pond
188,471,The Uncontrollable Rental Car!
189,475,Bad Luck Grand Prix
190,478,Real 30 Minutes
191,480,Yellow Alibi
192,483,The Vanished Policeman
193,486,Beckoning Cat from Right to Left
194,489,Courtroom Confrontation III: Prosecutor as Eyewitness (1 Hour Special)
195,512,The Broken Horoscope
196,518,Meiji Restoration Mystery Tour: Investigation Chapter
197,519,Meiji Restoration Mystery Tour: Decipher Chapter
198,520,Red Wine Indictment
199,527,The Malice Hidden Behind the Masque
200,536,The Secret of the Vanished Masterpiece
201,539,A Fool's Inheritance
202,540,The Day Kogoro Mouri Ceased Being a Detective (Part 1)
203,541,The Day Kogoro Mouri Ceased Being a Detective (Part 2)
204,544,The Hand That Plays in Dissonance
205,547,Two Days with the Culprit (First Day)
206,548,Two Days with the Culprit (Second Day)
207,553,The Interrogation Room
208,554,Stork Mystery Tour (Ran's Search Chapter)
209,555,Stork Mystery Tour (Haruna's Pursuit Chapter)
210,556,Intersection of Fear
211,562,Rainbow Color Kidnapping
212,565,The Eyewitness Who Did Not See
213,566,The Partner is Santa-san
214,567,Murderous Intent Raining on an Outdoor Spa
215,570,The Crime with Zero Possibility to be Proven
216,577,The Truth Lit Up By the Fireflies
217,582,The Night the Zombie Died
218,588,The Trap of the Rooftop Farm
219,591,The House with the Aquarium
220,594,The Seven Wonders of the Hiroshima Miyajima Tour (Miyajima Part)
221,595,The Seven Wonders of the Hiroshima Miyajima Tour (Hiroshima Part)
222,596,The Alibi of the Fall
223,599,A Friend of Justice
224,602,The Devil Hidden in the Tennis Court
225,603,The Séance's Double Locked Room Mystery Case (First Locked Room)
226,604,The Séance's Double Locked Room Mystery Case (Second Locked Room)
227,605,The Séance's Double Locked Room Mystery Case (Opened Locked Room)
